State Postal,,County Number,FIPS Code,County Name
AK,AK Alaska,1,0,Alaska
AK,AK Alaska,2001,2000,Alaska
AL,AL Alabama,1,0,Alabama
AL,AL Autauga,1001,1001,Autauga
AL,AL Baldwin,1002,1003,Baldwin
AL,AL Barbour,1003,1005,Barbour
AL,AL Bibb,1004,1007,Bibb
AL,AL Blount,1005,1009,Blount
AL,AL Bullock,1006,1011,Bullock
AL,AL Butler,1007,1013,Butler
AL,AL Calhoun,1008,1015,Calhoun
AL,AL Chambers,1009,1017,Chambers
AL,AL Cherokee,1010,1019,Cherokee
AL,AL Chilton,1011,1021,Chilton
AL,AL Choctaw,1012,1023,Choctaw
AL,AL Clarke,1013,1025,Clarke
AL,AL Clay,1014,1027,Clay
AL,AL Cleburne,1015,1029,Cleburne
AL,AL Coffee,1016,1031,Coffee
AL,AL Colbert,1017,1033,Colbert
AL,AL Conecuh,1018,1035,Conecuh
AL,AL Coosa,1019,1037,Coosa
AL,AL Covington,1020,1039,Covington
AL,AL Crenshaw,1021,1041,Crenshaw
AL,AL Cullman,1022,1043,Cullman
AL,AL Dale,1023,1045,Dale
AL,AL Dallas,1024,1047,Dallas
AL,AL DeKalb,1025,1049,DeKalb
AL,AL Elmore,1026,1051,Elmore
AL,AL Escambia,1027,1053,Escambia
AL,AL Etowah,1028,1055,Etowah
AL,AL Fayette,1029,1057,Fayette
AL,AL Franklin,1030,1059,Franklin
AL,AL Geneva,1031,1061,Geneva
AL,AL Greene,1032,1063,Greene
AL,AL Hale,1033,1065,Hale
AL,AL Henry,1034,1067,Henry
AL,AL Houston,1035,1069,Houston
AL,AL Jackson,1036,1071,Jackson
AL,AL Jefferson,1037,1073,Jefferson
AL,AL Lamar,1039,1075,Lamar
AL,AL Lauderdale,1040,1077,Lauderdale
AL,AL Lawrence,1041,1079,Lawrence
AL,AL Lee,1042,1081,Lee
AL,AL Limestone,1043,1083,Limestone
AL,AL Lowndes,1044,1085,Lowndes
AL,AL Macon,1045,1087,Macon
AL,AL Madison,1046,1089,Madison
AL,AL Marengo,1047,1091,Marengo
AL,AL Marion,1048,1093,Marion
AL,AL Marshall,1049,1095,Marshall
AL,AL Mobile,1050,1097,Mobile
AL,AL Monroe,1051,1099,Monroe
AL,AL Montgomery,1052,1101,Montgomery
AL,AL Morgan,1053,1103,Morgan
AL,AL Perry,1054,1105,Perry
AL,AL Pickens,1055,1107,Pickens
AL,AL Pike,1056,1109,Pike
AL,AL Randolph,1057,1111,Randolph
AL,AL Russell,1058,1113,Russell
AL,AL St. Clair,1059,1115,St. Clair
AL,AL Shelby,1061,1117,Shelby
AL,AL Sumter,1062,1119,Sumter
AL,AL Talladega,1063,1121,Talladega
AL,AL Tallapoosa,1064,1123,Tallapoosa
AL,AL Tuscaloosa,1065,1125,Tuscaloosa
AL,AL Walker,1066,1127,Walker
AL,AL Washington,1067,1129,Washington
AL,AL Wilcox,1068,1131,Wilcox
AL,AL Winston,1069,1133,Winston
AR,AR Arkansas,1,0,Arkansas
AR,AR Arkansas,4001,5001,Arkansas
AR,AR Ashley,4002,5003,Ashley
AR,AR Baxter,4003,5005,Baxter
AR,AR Benton,4004,5007,Benton
AR,AR Boone,4005,5009,Boone
AR,AR Bradley,4006,5011,Bradley
AR,AR Calhoun,4007,5013,Calhoun
AR,AR Carroll,4008,5015,Carroll
AR,AR Chicot,4009,5017,Chicot
AR,AR Clark,4010,5019,Clark
AR,AR Clay,4011,5021,Clay
AR,AR Cleburne,4012,5023,Cleburne
AR,AR Cleveland,4013,5025,Cleveland
AR,AR Columbia,4014,5027,Columbia
AR,AR Conway,4015,5029,Conway
AR,AR Craighead,4016,5031,Craighead
AR,AR Crawford,4017,5033,Crawford
AR,AR Crittenden,4018,5035,Crittenden
AR,AR Cross,4019,5037,Cross
AR,AR Dallas,4020,5039,Dallas
AR,AR Desha,4021,5041,Desha
AR,AR Drew,4022,5043,Drew
AR,AR Faulkner,4023,5045,Faulkner
AR,AR Franklin,4024,5047,Franklin
AR,AR Fulton,4025,5049,Fulton
AR,AR Garland,4026,5051,Garland
AR,AR Grant,4027,5053,Grant
AR,AR Greene,4028,5055,Greene
AR,AR Hempstead,4029,5057,Hempstead
AR,AR Hot Spring,4030,5059,Hot Spring
AR,AR Howard,4031,5061,Howard
AR,AR Independence,4032,5063,Independence
AR,AR Izard,4033,5065,Izard
AR,AR Jackson,4034,5067,Jackson
AR,AR Jefferson,4035,5069,Jefferson
AR,AR Johnson,4036,5071,Johnson
AR,AR Lafayette,4037,5073,Lafayette
AR,AR Lawrence,4038,5075,Lawrence
AR,AR Lee,4039,5077,Lee
AR,AR Lincoln,4040,5079,Lincoln
AR,AR Little River,4041,5081,Little River
AR,AR Logan,4042,5083,Logan
AR,AR Lonoke,4043,5085,Lonoke
AR,AR Madison,4044,5087,Madison
AR,AR Marion,4045,5089,Marion
AR,AR Miller,4046,5091,Miller
AR,AR Mississippi,4047,5093,Mississippi
AR,AR Monroe,4048,5095,Monroe
AR,AR Montgomery,4049,5097,Montgomery
AR,AR Nevada,4050,5099,Nevada
AR,AR Newton,4051,5101,Newton
AR,AR Ouachita,4052,5103,Ouachita
AR,AR Perry,4053,5105,Perry
AR,AR Phillips,4054,5107,Phillips
AR,AR Pike,4055,5109,Pike
AR,AR Poinsett,4056,5111,Poinsett
AR,AR Polk,4057,5113,Polk
AR,AR Pope,4058,5115,Pope
AR,AR Prairie,4059,5117,Prairie
AR,AR Pulaski,4060,5119,Pulaski
AR,AR Randolph,4061,5121,Randolph
AR,AR Saint Francis,4062,5123,Saint Francis
AR,AR Saline,4063,5125,Saline
AR,AR Scott,4064,5127,Scott
AR,AR Searcy,4065,5129,Searcy
AR,AR Sebastian,4066,5131,Sebastian
AR,AR Sevier,4067,5133,Sevier
AR,AR Sharp,4068,5135,Sharp
AR,AR Stone,4069,5137,Stone
AR,AR Union,4070,5139,Union
AR,AR Van Buren,4071,5141,Van Buren
AR,AR Washington,4072,5143,Washington
AR,AR White,4073,5145,White
AR,AR Woodruff,4074,5147,Woodruff
AR,AR Yell,4075,5149,Yell
AZ,AZ Arizona,1,0,Arizona
AZ,AZ Apache,3001,4001,Apache
AZ,AZ Cochise,3002,4003,Cochise
AZ,AZ Coconino,3003,4005,Coconino
AZ,AZ Gila,3004,4007,Gila
AZ,AZ Graham,3005,4009,Graham
AZ,AZ Greenlee,3006,4011,Greenlee
AZ,AZ La Paz,3007,4012,La Paz
AZ,AZ Maricopa,3008,4013,Maricopa
AZ,AZ Mohave,3009,4015,Mohave
AZ,AZ Navajo,3010,4017,Navajo
AZ,AZ Pima,3011,4019,Pima
AZ,AZ Pinal,3012,4021,Pinal
AZ,AZ Santa Cruz,3013,4023,Santa Cruz
AZ,AZ Yavapai,3014,4025,Yavapai
AZ,AZ Yuma,3015,4027,Yuma
CA,CA California,1,0,California
CA,CA Alameda,5001,6001,Alameda
CA,CA Alpine,5002,6003,Alpine
CA,CA Amador,5003,6005,Amador
CA,CA Butte,5004,6007,Butte
CA,CA Calaveras,5005,6009,Calaveras
CA,CA Colusa,5006,6011,Colusa
CA,CA Contra Costa,5007,6013,Contra Costa
CA,CA Del Norte,5008,6015,Del Norte
CA,CA El Dorado,5009,6017,El Dorado
CA,CA Fresno,5010,6019,Fresno
CA,CA Glenn,5011,6021,Glenn
CA,CA Humboldt,5012,6023,Humboldt
CA,CA Imperial,5013,6025,Imperial
CA,CA Inyo,5014,6027,Inyo
CA,CA Kern,5015,6029,Kern
CA,CA Kings,5016,6031,Kings
CA,CA Lake,5017,6033,Lake
CA,CA Lassen,5018,6035,Lassen
CA,CA Los Angeles,5019,6037,Los Angeles
CA,CA Madera,5020,6039,Madera
CA,CA Marin,5021,6041,Marin
CA,CA Mariposa,5022,6043,Mariposa
CA,CA Mendocino,5023,6045,Mendocino
CA,CA Merced,5024,6047,Merced
CA,CA Modoc,5025,6049,Modoc
CA,CA Mono,5026,6051,Mono
CA,CA Monterey,5027,6053,Monterey
CA,CA Napa,5028,6055,Napa
CA,CA Nevada,5029,6057,Nevada
CA,CA Orange,5030,6059,Orange
CA,CA Placer,5031,6061,Placer
CA,CA Plumas,5032,6063,Plumas
CA,CA Riverside,5033,6065,Riverside
CA,CA Sacramento,5034,6067,Sacramento
CA,CA San Benito,5035,6069,San Benito
CA,CA San Bernardino,5036,6071,San Bernardino
CA,CA San Diego,5037,6073,San Diego
CA,CA San Francisco,5038,6075,San Francisco
CA,CA San Joaquin,5039,6077,San Joaquin
CA,CA San Luis Obispo,5040,6079,San Luis Obispo
CA,CA San Mateo,5041,6081,San Mateo
CA,CA Santa Barbara,5042,6083,Santa Barbara
CA,CA Santa Clara,5043,6085,Santa Clara
CA,CA Santa Cruz,5044,6087,Santa Cruz
CA,CA Shasta,5045,6089,Shasta
CA,CA Sierra,5046,6091,Sierra
CA,CA Siskiyou,5047,6093,Siskiyou
CA,CA Solano,5048,6095,Solano
CA,CA Sonoma,5049,6097,Sonoma
CA,CA Stanislaus,5050,6099,Stanislaus
CA,CA Sutter,5051,6101,Sutter
CA,CA Tehama,5052,6103,Tehama
CA,CA Trinity,5053,6105,Trinity
CA,CA Tulare,5054,6107,Tulare
CA,CA Tuolumne,5055,6109,Tuolumne
CA,CA Ventura,5056,6111,Ventura
CA,CA Yolo,5057,6113,Yolo
CA,CA Yuba,5058,6115,Yuba
CO,CO Colorado,1,0,Colorado
CO,CO Adams,6001,8001,Adams
CO,CO Alamosa,6002,8003,Alamosa
CO,CO Arapahoe,6003,8005,Arapahoe
CO,CO Archuleta,6004,8007,Archuleta
CO,CO Baca,6005,8009,Baca
CO,CO Bent,6006,8011,Bent
CO,CO Boulder,6007,8013,Boulder
CO,CO Broomfield,6435,8014,Broomfield
CO,CO Chaffee,6008,8015,Chaffee
CO,CO Cheyenne,6009,8017,Cheyenne
CO,CO Clear Creek,6010,8019,Clear Creek
CO,CO Conejos,6011,8021,Conejos
CO,CO Costilla,6012,8023,Costilla
CO,CO Crowley,6013,8025,Crowley
CO,CO Custer,6014,8027,Custer
CO,CO Delta,6015,8029,Delta
CO,CO Denver,6016,8031,Denver
CO,CO Dolores,6017,8033,Dolores
CO,CO Douglas,6080,8035,Douglas
CO,CO Eagle,6019,8037,Eagle
CO,CO Elbert,6020,8039,Elbert
CO,CO El Paso,6021,8041,El Paso
CO,CO Fremont,6022,8043,Fremont
CO,CO Garfield,6023,8045,Garfield
CO,CO Gilpin,6024,8047,Gilpin
CO,CO Grand,6025,8049,Grand
CO,CO Gunnison,6026,8051,Gunnison
CO,CO Hinsdale,6027,8053,Hinsdale
CO,CO Huerfano,6028,8055,Huerfano
CO,CO Jackson,6029,8057,Jackson
CO,CO Jefferson,6030,8059,Jefferson
CO,CO Kiowa,6031,8061,Kiowa
CO,CO Kit Carson,6032,8063,Kit Carson
CO,CO Lake,6033,8065,Lake
CO,CO La Plata,6034,8067,La Plata
CO,CO Larimer,6035,8069,Larimer
CO,CO Las Animas,6036,8071,Las Animas
CO,CO Lincoln,6037,8073,Lincoln
CO,CO Logan,6038,8075,Logan
CO,CO Mesa,6039,8077,Mesa
CO,CO Mineral,6040,8079,Mineral
CO,CO Moffat,6041,8081,Moffat
CO,CO Montezuma,6042,8083,Montezuma
CO,CO Montrose,6043,8085,Montrose
CO,CO Morgan,6044,8087,Morgan
CO,CO Otero,6045,8089,Otero
CO,CO Ouray,6046,8091,Ouray
CO,CO Park,6453,8093,Park
CO,CO Phillips,6048,8095,Phillips
CO,CO Pitkin,6049,8097,Pitkin
CO,CO Prowers,6050,8099,Prowers
CO,CO Pueblo,6051,8101,Pueblo
CO,CO Rio Blanco,6052,8103,Rio Blanco
CO,CO Rio Grande,6053,8105,Rio Grande
CO,CO Routt,6054,8107,Routt
CO,CO Saguache,6055,8109,Saguache
CO,CO San Juan,6056,8111,San Juan
CO,CO San Miguel,6057,8113,San Miguel
CO,CO Sedgwick,6058,8115,Sedgwick
CO,CO Summit,6059,8117,Summit
CO,CO Teller,6060,8119,Teller
CO,CO Washington,6061,8121,Washington
CO,CO Weld,6062,8123,Weld
CO,CO Yuma,6063,8125,Yuma
CT,CT Connecticut,1,0,Connecticut
CT,CT Andover,7001,9013,Andover
CT,CT Ansonia,7002,9009,Ansonia
CT,CT Ashford,7003,9015,Ashford
CT,CT Avon,7004,9003,Avon
CT,CT Barkhamsted,7005,9005,Barkhamsted
CT,CT Beacon Falls,7006,9009,Beacon Falls
CT,CT Berlin,7007,9003,Berlin
CT,CT Bethany,7008,9009,Bethany
CT,CT Bethel,7009,9001,Bethel
CT,CT Bethlehem,7010,9005,Bethlehem
CT,CT Bloomfield,7011,9003,Bloomfield
CT,CT Bolton,7012,9013,Bolton
CT,CT Bozrah,7013,9011,Bozrah
CT,CT Branford,7014,9009,Branford
CT,CT Bridgeport,7015,9001,Bridgeport
CT,CT Bridgewater,7016,9005,Bridgewater
CT,CT Bristol,7017,9003,Bristol
CT,CT Brookfield,7018,9001,Brookfield
